acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.069,https://api.spotify.com/v1/audio-analysis/2ANLarE8yHVsLWW21nj79M,0.843,163944,0.359,2ANLarE8yHVsLWW21nj79M,0.0,0,0.12,-7.417,1,0.461,81.987,4,https://api.spotify.com/v1/tracks/2ANLarE8yHVsLWW21nj79M,audio_features,spotify:track:2ANLarE8yHVsLWW21nj79M,0.156
0.0161,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,0.636,244453,0.727,7yHEDfrJNd0zWOfXwydNH0,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,audio_features,spotify:track:7yHEDfrJNd0zWOfXwydNH0,0.358
0.0573,https://api.spotify.com/v1/audio-analysis/11KJSRSgaDxqydKYiD2Jew,0.804,263373,0.648,11KJSRSgaDxqydKYiD2Jew,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,https://api.spotify.com/v1/tracks/11KJSRSgaDxqydKYiD2Jew,audio_features,spotify:track:11KJSRSgaDxqydKYiD2Jew,0.392
0.0773,https://api.spotify.com/v1/audio-analysis/6F609ICg9Spjrw1epsAnpa,0.607,245227,0.476,6F609ICg9Spjrw1epsAnpa,0.0,10,0.113,-11.076,0,0.249,122.976,5,https://api.spotify.com/v1/tracks/6F609ICg9Spjrw1epsAnpa,audio_features,spotify:track:6F609ICg9Spjrw1epsAnpa,0.347
0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160,0.928,0azC730Exh71aQlOt9Zj3y,0.124,9,0.148,-2.787,0,0.0331,123.963,4,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465
0.695,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,0.358,211467,0.557,5uCax9HTNlzGybIStD3vDh,0.0,10,0.0902,-7.398,1,0.059,85.043,4,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh,0.494
0.097,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,0.662,194080,0.586,2rizacJSyD9S1IQUxUxnsK,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,audio_features,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.296
0.114,https://api.spotify.com/v1/audio-analysis/20dP2DaMHIAmwWAbp7peSr,0.711,252256,0.739,20dP2DaMHIAmwWAbp7peSr,0.0,7,0.226,-3.804,0,0.129,136.919,4,https://api.spotify.com/v1/tracks/20dP2DaMHIAmwWAbp7peSr,audio_features,spotify:track:20dP2DaMHIAmwWAbp7peSr,0.43
0.378,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,0.746,253107,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,7,0.229,-6.745,1,0.289,75.016,4,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,audio_features,spotify:track:2EEeOnHehOozLq4aS0n6SL,0.672
0.0472,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,0.628,211667,0.698,27SdWb2rFzO6GWiYDBTD9j,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732
0.107,https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm,0.688,191600,0.325,1Tt4sE4pXi57mTD1GCzsqm,0.0,5,0.0837,-8.083,0,0.251,110.888,4,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,audio_features,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,0.275
0.0736,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p,0.608,185352,0.798,6DNtNfH8hXkqOX1sjqmI7p,0.0,6,0.156,-5.092,0,0.0432,92.943,4,https://api.spotify.com/v1/tracks/6DNtNfH8hXkqOX1sjqmI7p,audio_features,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,0.501
0.028,https://api.spotify.com/v1/audio-analysis/5OOkp4U9P9oL23maHFHL1h,0.576,246761,0.766,5OOkp4U9P9oL23maHFHL1h,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,https://api.spotify.com/v1/tracks/5OOkp4U9P9oL23maHFHL1h,audio_features,spotify:track:5OOkp4U9P9oL23maHFHL1h,0.236
0.0294,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.591,230227,0.741,0prNGof3XqfTvNDxHonvdK,0.0,0,0.11,-5.751,1,0.139,97.048,4,https://api.spotify.com/v1/tracks/0prNGof3XqfTvNDxHonvdK,audio_features,spotify:track:0prNGof3XqfTvNDxHonvdK,0.452
0.137,https://api.spotify.com/v1/audio-analysis/4TZy1wLyHec06pwgFYDh1a,0.469,208733,0.68,4TZy1wLyHec06pwgFYDh1a,0.0,11,0.11,-4.921,0,0.117,147.734,4,https://api.spotify.com/v1/tracks/4TZy1wLyHec06pwgFYDh1a,audio_features,spotify:track:4TZy1wLyHec06pwgFYDh1a,0.374
0.358,https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy,0.894,216520,0.284,0utlOiJy2weVl9WTkcEWHy,0.000487,11,0.11,-13.002,0,0.33,138.944,4,https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy,audio_features,spotify:track:0utlOiJy2weVl9WTkcEWHy,0.413
0.0752,https://api.spotify.com/v1/audio-analysis/14WWzenpaEgQZlqPq2nk4v,0.725,219320,0.534,14WWzenpaEgQZlqPq2nk4v,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,https://api.spotify.com/v1/tracks/14WWzenpaEgQZlqPq2nk4v,audio_features,spotify:track:14WWzenpaEgQZlqPq2nk4v,0.558
0.0623,https://api.spotify.com/v1/audio-analysis/78rIJddV4X0HkNAInEcYde,0.676,222041,0.843,78rIJddV4X0HkNAInEcYde,0.000752,0,0.181,-4.068,1,0.0367,105.003,4,https://api.spotify.com/v1/tracks/78rIJddV4X0HkNAInEcYde,audio_features,spotify:track:78rIJddV4X0HkNAInEcYde,0.718
0.215,https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL,0.678,208120,0.317,6mapJIPnQ23RTAevUoE0DL,4.31e-05,8,0.101,-9.427,1,0.0583,140.009,4,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,audio_features,spotify:track:6mapJIPnQ23RTAevUoE0DL,0.16
0.102,https://api.spotify.com/v1/audio-analysis/4mU5iXHeLgbR94siF7p1sY,0.768,237573,0.485,4mU5iXHeLgbR94siF7p1sY,0.0,6,0.128,-8.435,0,0.0825,140.016,4,https://api.spotify.com/v1/tracks/4mU5iXHeLgbR94siF7p1sY,audio_features,spotify:track:4mU5iXHeLgbR94siF7p1sY,0.289
0.157,https://api.spotify.com/v1/audio-analysis/5hYTyyh2odQKphUbMqc5gN,0.314,175517,0.555,5hYTyyh2odQKphUbMqc5gN,0.000108,9,0.067,-9.601,1,0.37,179.666,4,https://api.spotify.com/v1/tracks/5hYTyyh2odQKphUbMqc5gN,audio_features,spotify:track:5hYTyyh2odQKphUbMqc5gN,0.159
0.0415,https://api.spotify.com/v1/audio-analysis/4BHzQ9C00ceJxfG16AlNWb,0.69,223080,0.524,4BHzQ9C00ceJxfG16AlNWb,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,audio_features,spotify:track:4BHzQ9C00ceJxfG16AlNWb,0.562
0.591,https://api.spotify.com/v1/audio-analysis/6nxQdXa1uAL0rY72wPZu89,0.488,210293,0.762,6nxQdXa1uAL0rY72wPZu89,0.0,8,0.0763,-3.842,1,0.0865,123.889,4,https://api.spotify.com/v1/tracks/6nxQdXa1uAL0rY72wPZu89,audio_features,spotify:track:6nxQdXa1uAL0rY72wPZu89,0.709
0.835,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,0.609,233720,0.378,3hB5DgAiMAQ4DzYbsMq1IT,0.0,4,0.28,-9.828,1,0.438,100.418,4,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,audio_features,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,0.515
0.00381,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.807,144244,0.887,1lItf5ZXJc1by9SbPeljFd,0.0,1,0.391,-3.892,1,0.275,160.517,4,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,audio_features,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.78
0.0565,https://api.spotify.com/v1/audio-analysis/27GmP9AWRs744SzKcpJsTZ,0.853,205879,0.547,27GmP9AWRs744SzKcpJsTZ,0.0,1,0.341,-7.535,1,0.194,142.065,4,https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ,audio_features,spotify:track:27GmP9AWRs744SzKcpJsTZ,0.676
0.135,https://api.spotify.com/v1/audio-analysis/4h90qkbnW1Qq6pBhoPvwko,0.542,231360,0.727,4h90qkbnW1Qq6pBhoPvwko,0.0,1,0.328,-5.268,0,0.0849,150.098,4,https://api.spotify.com/v1/tracks/4h90qkbnW1Qq6pBhoPvwko,audio_features,spotify:track:4h90qkbnW1Qq6pBhoPvwko,0.548
0.29,https://api.spotify.com/v1/audio-analysis/3b0EOvScbZUc0qJx0E1L2z,0.639,176333,0.548,3b0EOvScbZUc0qJx0E1L2z,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,https://api.spotify.com/v1/tracks/3b0EOvScbZUc0qJx0E1L2z,audio_features,spotify:track:3b0EOvScbZUc0qJx0E1L2z,0.887
0.156,https://api.spotify.com/v1/audio-analysis/2aFiaMXmWsM3Vj72F9ksBl,0.774,219147,0.764,2aFiaMXmWsM3Vj72F9ksBl,0.0,4,0.0383,-5.445,0,0.0518,118.997,4,https://api.spotify.com/v1/tracks/2aFiaMXmWsM3Vj72F9ksBl,audio_features,spotify:track:2aFiaMXmWsM3Vj72F9ksBl,0.912
0.337,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,0.722,313547,0.331,7EiZI6JVHllARrX9PUvAdX,0.283,8,0.146,-7.789,1,0.0725,143.974,4,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,audio_features,spotify:track:7EiZI6JVHllARrX9PUvAdX,0.102
0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
0.199,https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y,0.743,326933,0.359,3kxfsdsCpFgN412fpnW85Y,0.00611,1,0.137,-10.401,1,0.0794,160.083,4,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y,0.587
0.00383,https://api.spotify.com/v1/audio-analysis/3EmmCZoqpWOTY1g2GBwJoR,0.647,198774,0.932,3EmmCZoqpWOTY1g2GBwJoR,1.5e-06,11,0.0574,-3.515,1,0.0824,114.991,4,https://api.spotify.com/v1/tracks/3EmmCZoqpWOTY1g2GBwJoR,audio_features,spotify:track:3EmmCZoqpWOTY1g2GBwJoR,0.374
0.0236,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,0.92,293827,0.654,5ChkMS8OtdzJeqyybCc9R5,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,0.847
0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9,0.18,-4.068,0,0.0523,101.965,4,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
0.435,https://api.spotify.com/v1/audio-analysis/6AGON2BGdPmPMJGiiNuuwl,0.713,201667,0.419,6AGON2BGdPmPMJGiiNuuwl,2.87e-06,11,0.126,-10.668,1,0.356,91.634,4,https://api.spotify.com/v1/tracks/6AGON2BGdPmPMJGiiNuuwl,audio_features,spotify:track:6AGON2BGdPmPMJGiiNuuwl,0.253
0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.645,214507,0.713,2Z8WuEywRWYTKe1NybPQEW,0.0,6,0.113,-5.355,1,0.0393,74.989,4,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.566
0.482,https://api.spotify.com/v1/audio-analysis/2H3ZUSE54pST4ubRd5FzFR,0.669,151667,0.616,2H3ZUSE54pST4ubRd5FzFR,0.0,11,0.179,-10.776,0,0.033,130.037,4,https://api.spotify.com/v1/tracks/2H3ZUSE54pST4ubRd5FzFR,audio_features,spotify:track:2H3ZUSE54pST4ubRd5FzFR,0.818
0.0541,https://api.spotify.com/v1/audio-analysis/0B8QzDH7YWih85V5SEMnyJ,0.795,198944,0.568,0B8QzDH7YWih85V5SEMnyJ,0.0,5,0.108,-7.817,0,0.142,136.173,4,https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ,audio_features,spotify:track:0B8QzDH7YWih85V5SEMnyJ,0.478
0.255,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,0.502,243491,0.786,4dASQiO1Eoo3RJvt74FtXB,0.0,9,0.65,-4.378,0,0.317,169.021,4,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,audio_features,spotify:track:4dASQiO1Eoo3RJvt74FtXB,0.739
0.302,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,0.696,292987,0.521,62vpWI1CHwFy7tMIcSStl8,0.0,10,0.0565,-8.465,0,0.332,100.0,4,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,audio_features,spotify:track:62vpWI1CHwFy7tMIcSStl8,0.458
0.0312,https://api.spotify.com/v1/audio-analysis/78sr3ogs4UzITcCNbXM9cM,0.618,180520,0.727,78sr3ogs4UzITcCNbXM9cM,0.0,3,0.196,-7.224,0,0.208,164.992,4,https://api.spotify.com/v1/tracks/78sr3ogs4UzITcCNbXM9cM,audio_features,spotify:track:78sr3ogs4UzITcCNbXM9cM,0.401
0.187,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,0.852,195840,0.773,6mICuAdrwEjh6Y6lroV2Kg,3.05e-05,8,0.159,-2.921,0,0.0776,102.034,4,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,audio_features,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.907
0.145,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,0.733,239600,0.71,7w87IxuO7BDcJ3YUqCyMTT,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,audio_features,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,0.965
